id	logFC	AveExpr	t	P.Value	adj.P.Val	B	Comparison
4679	0.6110877609694536	0.029297312454475213	6.315401891174476	1.5072775199891145e-5	1.1482874611764723e-4	2.9075574839932434	Cell2_inhibitor1 - Cell2_DMSO
4019	-1.985914216398636	0.13034276724741595	-6.3148349618799955	1.5087647995001642e-5	1.1482874611764723e-4	2.906542999963537	Cell2_inhibitor1 - Cell2_DMSO
3862	-0.484447788943023	0.1161152691980326	-6.305920864084681	1.5323528195863182e-5	1.1644965223881677e-4	2.890585989272247	Cell2_inhibitor1 - Cell2_DMSO
1338	-0.8649768721998454	-0.13514320359616544	-6.2907052281293065	1.5735106012657357e-5	1.1939892383335821e-4	2.863323498113922	Cell2_inhibitor1 - Cell2_DMSO
5922	-1.121827204430296	0.06363728986416274	-6.278808746005141	1.606494498545816e-5	1.2160664177849471e-4	2.8419859648650183	Cell2_inhibitor1 - Cell2_DMSO
4393	0.706942281508034	-0.054412535334540185	6.278489642165634	1.607389128150048e-5	1.2160664177849471e-4	2.841413353046213	Cell2_inhibitor1 - Cell2_DMSO
2662	0.7926022513597051	0.22623217488381642	6.2724595827268566	1.624393079294408e-5	1.2271046679246316e-4	2.830590167052301	Cell2_inhibitor1 - Cell2_DMSO
3494	-0.4415099456728515	0.01344420434182187	-6.265725913637199	1.6436035385432834e-5	1.2382391314067346e-4	2.818498205230969	Cell2_inhibitor1 - Cell2_DMSO
5558	0.4968304830691591	-0.056342653185120994	6.265586570973635	1.6440035674656685e-5	1.2382391314067346e-4	2.818247915568704	Cell2_inhibitor1 - Cell2_DMSO
1429	-1.6420401403870182	-0.36692848877872347	-6.264474614002345	1.6471994541601887e-5	1.2388109504364497e-4	2.8162505042783392	Cell2_inhibitor1 - Cell2_DMSO
756	1.4597252284228008	0.03873402265871503	6.2563881450643235	1.6706370684488678e-5	1.2536659536369478e-4	2.801719666290018	Cell2_inhibitor1 - Cell2_DMSO
5071	-1.343996205238244	0.04040277594679756	-6.255961463361222	1.671883392143687e-5	1.2536659536369478e-4	2.8009526994825267	Cell2_inhibitor1 - Cell2_DMSO
5916	1.7222097993088457	-0.06293386246809717	6.251505006436585	1.6849587919344102e-5	1.2616097935485334e-4	2.7929406615846295	Cell2_inhibitor1 - Cell2_DMSO
2498	-0.7576295401489519	-0.09093524938994098	-6.249272631390496	1.6915487944334622e-5	1.264681481014665e-4	2.7889261659447095	Cell2_inhibitor1 - Cell2_DMSO
2586	-0.7438881993663572	-0.07262609622671887	-6.246679132370072	1.699238680342926e-5	1.26856526444397e-4	2.7842614022312917	Cell2_inhibitor1 - Cell2_DMSO
5626	0.47155128818203046	0.030195367938628575	6.236739142597222	1.7290513833654515e-5	1.2889292130542455e-4	2.7663744455930273	Cell2_inhibitor1 - Cell2_DMSO
4469	-1.3151013265287257	-0.05552576780082674	-6.232239687178055	1.7427257023982082e-5	1.29722071317606e-4	2.7582732576323314	Cell2_inhibitor1 - Cell2_DMSO
5046	0.8142922224633197	-0.02577353870299031	6.2299062157340925	1.749861825986372e-5	1.3006282928822684e-4	2.7540707945468315	Cell2_inhibitor1 - Cell2_DMSO
1131	0.5961968926398226	0.11827420067949825	6.223982033202485	1.7681164220788615e-5	1.3122779401239317e-4	2.7433983002262723	Cell2_inhibitor1 - Cell2_DMSO
936	0.4241333608219886	0.49944698403655635	6.222662414623307	1.7722096885170196e-5	1.313398550498619e-4	2.741020336395377	Cell2_inhibitor1 - Cell2_DMSO
3584	-0.5348198539874083	0.138537266232928	-6.2215095693049145	1.7757937524708748e-5	1.314139073880921e-4	2.738942704626635	Cell2_inhibitor1 - Cell2_DMSO
436	-0.4289395791896555	-0.0483933230057541	-6.219166956307055	1.7831000204045063e-5	1.3176279801942602e-4	2.734720340977458	Cell2_inhibitor1 - Cell2_DMSO
2873	0.5335013450141406	-0.15917154251209967	6.216477807921414	1.791525822622919e-5	1.321111214302187e-4	2.72987245192897	Cell2_inhibitor1 - Cell2_DMSO
3881	-0.7561681853760921	-0.3221680768110588	-6.216005208522025	1.7930108927390026e-5	1.321111214302187e-4	2.7290203665812145	Cell2_inhibitor1 - Cell2_DMSO
3976	-0.8630174083271036	-0.1867293013197951	-6.2102105854225185	1.8113245303433766e-5	1.3326735039458358e-4	2.718570320167136	Cell2_inhibitor1 - Cell2_DMSO
4118	0.5209826140418421	-0.16286077724563539	6.205697999728764	1.8257216686468795e-5	1.341324994711089e-4	2.7104291289800253	Cell2_inhibitor1 - Cell2_DMSO
1631	1.0372049474065277	0.06315304834517438	6.202369536071276	1.836417525829477e-5	1.3472361762362282e-4	2.7044224398794183	Cell2_inhibitor1 - Cell2_DMSO
