id	Phos_number	logFC	AveExpr	t	P.Value	adj.P.Val	B	Comparison
1132	1	3.8816843469229108	-0.6752520345784201	11.250305169859049	4.435413506469461e-8	5.028310618048543e-6	9.062306165740644	Cell2_DMSO - Cell1_DMSO
3935	1	-1.3868844420198836	-0.45013050744919697	-11.198060975280795	4.6876469693037516e-8	5.207975782896468e-6	9.006308767671548	Cell2_DMSO - Cell1_DMSO
2552	1	-1.421518972004703	-0.11999588092752624	-11.141639716381752	4.977374278367095e-8	5.3761408645574486e-6	8.94556714466055	Cell2_DMSO - Cell1_DMSO
1880	1	-5.277574776505143	-1.4946090012729034	-11.131289673499275	5.0325711063364054e-8	5.3761408645574486e-6	8.934394316948719	Cell2_DMSO - Cell1_DMSO
1221	3	1.6153853086822976	0.2808586157232995	10.975489285066088	5.947502639353556e-8	6.233656068228114e-6	8.765065403198175	Cell2_DMSO - Cell1_DMSO
6648	1	0.9556606155455077	0.5132957689700769	10.874516799236725	6.634404702928356e-8	6.82483668977167e-6	8.654168165932958	Cell2_DMSO - Cell1_DMSO
4586	1	-5.159715225801427	-0.6543993056662771	-10.806240544949542	7.146657759166056e-8	7.2181243367577165e-006	8.578658522366666	Cell2_DMSO - Cell1_DMSO
4348	1	-1.497185928333332	-0.19586335543978178	-10.786837381572836	7.299830987588528e-8	7.241171631438264e-6	8.557122241577064	Cell2_DMSO - Cell1_DMSO
141	1	-2.3980594382089055	-0.5613870765780937	-10.757103144885388	7.541409027519166e-8	7.349566166292801e-6	8.524052264807336	Cell2_DMSO - Cell1_DMSO
7298	1	-1.9005669939237215	0.02590380807981581	-10.733166144803997	7.7420946985553e-8	7.4150579397370164e-6	8.497370926756082	Cell2_DMSO - Cell1_DMSO
1885	1	-5.593898435689696	-0.9139102220593833	-10.701673321256447	8.014866528483102e-8	7.4848320222000355e-6	8.462187115206872	Cell2_DMSO - Cell1_DMSO
6051	2	-2.388671062369424	-0.4706771255679113	-10.689869455860022	8.119735475994023e-8	7.4848320222000355e-6	8.448976227992711	Cell2_DMSO - Cell1_DMSO
3050	1	-2.4001408803558717	-0.5962596001878896	-10.678827088707735	8.219167477123351e-8	7.4848320222000355e-6	8.436605935926863	Cell2_DMSO - Cell1_DMSO
5190	1	-1.4724008292246298	-0.09767121859711628	-10.663375366042484	8.360494369351171e-8	7.490733261571896e-6	8.419277058905786	Cell2_DMSO - Cell1_DMSO
5348	1	0.8865032351059293	0.23234925791587738	10.613145540487828	8.838144754156922e-8	7.792999064974875e-6	8.362791691168132	Cell2_DMSO - Cell1_DMSO
4350	1	-1.9485923193943726	-0.2693515720461438	-10.530606247037932	9.687503864007072e-8	8.217599201329352e-6	8.269460641143311	Cell2_DMSO - Cell1_DMSO
5321	2	-1.3150184033525754	-0.0795583450323031	-10.523602725810946	9.763484199599229e-8	8.217599201329352e-6	8.26151194268564	Cell2_DMSO - Cell1_DMSO
8325	2	-1.3150184033525754	-0.0795583450323031	-10.523602725810946	9.763484199599229e-8	8.217599201329352e-6	8.26151194268564	Cell2_DMSO - Cell1_DMSO
1361	1	-4.872524586366472	-1.3225776057448395	-10.48270133391183	1.0220128339904464e-7	8.446751146941954e-6	8.21499798925647	Cell2_DMSO - Cell1_DMSO
3526	2	-2.9511822846181763	0.88603732971366	-10.45927430302571	1.0491914115913499e-7	8.446751146941954e-6	8.188284823750024	Cell2_DMSO - Cell1_DMSO
3527	2	-2.9511822846181763	0.88603732971366	-10.45927430302571	1.0491914115913499e-7	8.446751146941954e-6	8.188284823750024	Cell2_DMSO - Cell1_DMSO
2679	1	-4.357441246221018	-1.0447368595261863	-10.391172079564507	1.132677897491548e-7	8.9886081722365e-6	8.11033279269787	Cell2_DMSO - Cell1_DMSO
813	2	-0.5139701684196223	-0.08566169473660369	-10.307150687209255	1.2455809575892632e-7	9.74535523860332e-6	8.013545804434777	Cell2_DMSO - Cell1_DMSO
7896	1	-1.7637284973581788	-0.3629056645818903	-10.238429571753523	1.346861614638206e-7	1.0315576677381742e-5	7.933875551467509	Cell2_DMSO - Cell1_DMSO
2786	1	-6.2844224469054115	-0.22541911893388308	-10.232759504237002	1.355602335641525e-7	1.0315576677381742e-5	7.927281539404703	Cell2_DMSO - Cell1_DMSO
